InputSize,ExecutionTime_ms,ExecutionTime_ms_stddev,RecursionCount,RecursionCount_stddev,ComparisonCount,ComparisonCount_stddev
100000,7.552,0.063,199999,0.0,1536508,0.0
200000,15.806,0.066,399999,0.0,3273363,0.0
300000,24.582,0.088,599999,0.0,5084606,0.0
400000,33.201,0.113,799999,0.0,6945877,0.0
500000,42.271,0.119,999999,0.0,8836754,0.0
600000,51.399,0.169,1199999,0.0,10769794,0.0
700000,60.404,0.183,1399999,0.0,12723843,0.0
800000,69.583,0.855,1599999,0.0,14690825,0.0
900000,78.589,0.295,1799999,0.0,16679177,0.0
1000000,88.133,0.280,1999999,0.0,18674785,0.0
