Language,InputSize,ExecutionTime_ms,Theoretical_nlogn,ExecSpeed_items_per_ms
C,100000,7.552,1660964.0474436812,13241.525423728814
Python,100000,253.441,1660964.0474436812,394.5691502164212
Python,150000,388.638,2579190.446273695,385.9632871721242
C,200000,15.806,3521928.0948873623,12653.422750854106
Python,200000,526.874,3521928.0948873623,379.59739899862205
Python,250000,673.421,4482892.142331043,371.2387941569983
C,300000,24.582,5458380.89254739,12204.051745179398
Python,300000,824.01,5458380.89254739,364.0732515382095
C,400000,33.201,7443856.189774725,12047.82988464203
Python,400000,1119.638,7443856.189774725,357.2583281382018
C,500000,42.271,9465784.284662087,11828.440301861796
Python,500000,1466.3445000000002,9465784.284662087,340.9839911425998
C,600000,51.399,11516761.78509478,11673.378859510885
Python,600000,1775.44,11516761.78509478,337.9443968818997
C,700000,60.404,13591896.77754609,11588.636514138136
Python,700000,2105.027,13591896.77754609,332.5373023718936
Python,750000,2356.254,14637398.302534,318.30184691463654
C,800000,69.583,15687712.37954945,11497.061063765575
Python,800000,2465.538,15687712.37954945,324.47279255075364
C,900000,78.589,17801608.928291213,11451.984374403542
Python,900000,2824.88,17801608.928291213,318.5976041460168
C,1000000,88.133,19931568.569324173,11346.487694734096
Python,1000000,3286.295,19931568.569324173,304.29404542197216
